accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,mcc,auroc,tn,fp,fn,tp,repeat,seed,K,n_features_used,experiment,model,n_subjects,n_segments
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,2,44,70,70,feature_selection,extratrees_topk_70,13,1588
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,2,44,90,90,feature_selection,extratrees_topk_90,13,1588
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,0.9761904761904763,5,1,0,7,3,45,5,5,feature_selection,extratrees_topk_5,13,1583
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,3,45,10,10,feature_selection,extratrees_topk_10,13,1583
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,3,45,15,15,feature_selection,extratrees_topk_15,13,1583
0.8461538461538461,0.8333333333333333,0.7777777777777778,1.0,0.6666666666666666,0.875,0.7200822998230956,0.9523809523809524,4,2,0,7,3,45,20,20,feature_selection,extratrees_topk_20,13,1583
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,3,45,30,30,feature_selection,extratrees_topk_30,13,1583
0.8461538461538461,0.8333333333333333,0.7777777777777778,1.0,0.6666666666666666,0.875,0.7200822998230956,1.0,4,2,0,7,3,45,50,50,feature_selection,extratrees_topk_50,13,1583
0.8461538461538461,0.8333333333333333,0.7777777777777778,1.0,0.6666666666666666,0.875,0.7200822998230956,1.0,4,2,0,7,3,45,70,70,feature_selection,extratrees_topk_70,13,1583
0.9230769230769231,0.9166666666666667,0.875,1.0,0.8333333333333334,0.9333333333333333,0.8539125638299666,1.0,5,1,0,7,3,45,90,90,feature_selection,extratrees_topk_90,13,1583
0.8461538461538461,0.8571428571428572,1.0,0.7142857142857143,1.0,0.8333333333333334,0.7319250547113999,0.9285714285714286,6,0,2,5,4,46,5,5,feature_selection,extratrees_topk_5,13,1660
0.9230769230769231,0.9285714285714286,1.0,0.8571428571428571,1.0,0.9230769230769231,0.8571428571428571,1.0,6,0,1,6,4,46,10,10,feature_selection,extratrees_topk_10,13,1660
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,4,46,15,15,feature_selection,extratrees_topk_15,13,1660
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,4,46,20,20,feature_selection,extratrees_topk_20,13,1660
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,4,46,30,30,feature_selection,extratrees_topk_30,13,1660
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,0,0,7,4,46,50,50,feature_selection,extratrees_topk_50,13,1660
